"Carimbo de data/hora","How old are you?","What is your gender?","Are you a user of any of these streaming platforms?","Per day how much time do you usually spend on a streaming platform?","Do you ever ""binge-watch"" television shows, meaning watching three or more episodes of a TV series in one sitting?","Through what devices do you watch streaming platforms?","What are the main reasons you watch Streaming platforms?","Of the time you spend watching movies, which devices do you use the most?","Of the time you spend watching sports, which devices do you use the most?","Do you watch television?","Per day how much time do you usually spend watching television?","What are the main reasons you watch television?","Which of the following list of audiovisual contents do you usually watch on TV?","When you get home you're in the habit of...","Which of these activities would be easier for you to stop doing?"
"2023/04/22 4:59:58 PM GMT+1","28","Male","Netflix;HBO Max;Amazon Prime Video","Between 1 hour and 3 hours","Yes","Flat panel television","Greater variety and better content","Tablet;Television","Tablet;Television","Yes","Between 30 minutes and 1 hour","Football Matches","News;Sports","Watching videos on your smartphone;Watching Netflix or other streaming platform","Watching television"
"2023/04/22 5:01:47 PM GMT+1","37","Female","Netflix","More than 3 hours","Yes","Laptop/Desktop;Flat panel television","Access to content at any time;Greater variety and better content","Laptop/Desktop;Television","Television","Yes","Between 1 hour and 3 hours","For the programming content","News;Soap Operas;Movies;Sports","Watching Netflix or other streaming platform","Watching television"
"2023/04/22 5:44:06 PM GMT+1","29","Female","Netflix;HBO Max;Disney +","Between 1 hour and 3 hours","Yes","Smartphone;Laptop/Desktop;Flat panel television","Access to content at any time;Greater variety and better content","Television","I do not watch sports","Yes","Between 30 minutes and 1 hour","Live shows;Football Matches","News","Watching television;Watching videos on your smartphone","Watching television"
"2023/04/22 7:45:52 PM GMT+1","40 - 64","Female","Netflix","Between 1 hour and 3 hours","Yes","Smartphone","Access to content at any time;More freedom","Smartphone;Television","Television","Yes","More than 3 hours","For the programming content","News;Movies;Series;Programas de Entretenimento ","Watching television","Watching streaming platforms"
"2023/04/22 7:52:25 PM GMT+1","25 - 39","Female","Netflix;HBO Max;Disney +","Between 30 minutes and 1 hour","Yes","Laptop/Desktop;Flat panel television","Access to content at any time;Greater variety and better content","Laptop/Desktop;Television","I do not watch sports","No","No more than 30 minutes","I don't ","I don't ","Turn on the Laptop/Desktop;Watching Netflix or other streaming platform","Watching television"
"2023/04/22 7:55:09 PM GMT+1","25 - 39","Female","Netflix;HBO Max","Between 1 hour and 3 hours","Yes","Smartphone;Flat panel television","Access to content at any time;Greater variety and better content","Smartphone;Television","I do not watch sports","Yes","No more than 30 minutes","For the programming content","News;Series","Watching Netflix or other streaming platform","Watching television"
"2023/04/22 7:57:19 PM GMT+1","25 - 39","Male","Netflix;Disney +;Amazon Prime Video;OPTO","Between 1 hour and 3 hours","Yes","Flat panel television","Access to content at any time;Greater variety and better content","Television","Laptop/Desktop;Television","Yes","Between 30 minutes and 1 hour","Live shows;Football Matches","News;Series;Sports","Watching Netflix or other streaming platform","Navigate on the internet"
"2023/04/22 8:03:49 PM GMT+1","More than 65","Female","HBO Max","Between 1 hour and 3 hours","No","Flat panel television","Most convenient","Television","Television","Yes","Between 1 hour and 3 hours","Larger variety of channels","News;Series","Watching television","Social media"
"2023/04/22 8:04:06 PM GMT+1","25 - 39","Female","Netflix;HBO Max;Disney +","Between 1 hour and 3 hours","Yes","Smartphone;Laptop/Desktop;Flat panel television","Access to content at any time;Greater variety and better content;More freedom;Most convenient","Laptop/Desktop;Television","I do not watch sports","No","No more than 30 minutes","N/a","N/a","Turn on the Laptop/Desktop;Watching videos on your smartphone;Watching Netflix or other streaming platform;Play video Games","Watching television"
"2023/04/22 8:08:53 PM GMT+1","40 - 64","Female","Netflix;Disney +","Between 1 hour and 3 hours","Yes","Smartphone;Flat panel television","Access to content at any time;Greater variety and better content","Smartphone","Smartphone","Yes","Between 1 hour and 3 hours","For the programming content","Series;Sports","Watching television","Social media"
"2023/04/22 8:20:28 PM GMT+1","25 - 39","Male","Netflix","No more than 30 minutes","Yes","Laptop/Desktop;Flat panel television","Access to content at any time","Laptop/Desktop;Television","I do not watch sports","No","No more than 30 minutes","News","News","Turn on the Laptop/Desktop;Watching videos on your smartphone;Play video Games","Watching streaming platforms"
